"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","11:14:31","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","234","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","3","0","6937",
"03/13/2015","11:14:39","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","1650","823","","18573","10655","1","2","18","12","2","2","0","2","0","890","","","","3473","","","","","0","","","2","0","1650","","","1","0","0","-1","100","-1","100","-1","-1","100","3822","2441","1","1","4","4","0","0","0","0","-1","","","-1","","","","823","200","2796","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","487","1364","1677","1227","1363","4090","Google Chrome","41.0.2272.89","12","40","","0","3","0","6937",
"03/13/2015","11:14:50","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","4166","796","","21522","11457","1","2","20","11","3","2","0","6","0","881","","","","5215","","","","","0","","","2","0","4166","","","1","0","0","-1","100","-1","100","-1","-1","100","6876","3565","0","2","12","7","1","2","0","0","-1","","","-1","","","","796","200","3453","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","279","2825","3698","857","1060","4481","Google Chrome","41.0.2272.89","12","40","","0","3","0","6937",
"03/13/2015","11:15:03","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","3280","614","","22027","28403","0","2","19","12","3","2","0","2","0","632","","","","4771","","","","","0","","","2","0","3280","","","1","0","50","-1","100","-1","100","-1","-1","100","6789","3182","0","0","5","3","0","2","0","0","-1","","","-1","","","","614","200","12778","0","","","0","0","0","1","","1832","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","30","3477","4117","918","1104","4336","Google Chrome","41.0.2272.89","12","40","","0","3","0","6937",
"03/13/2015","11:21:46","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","8222","1312","","54928","2530878","29","46","97","86","8","1","0","2","0","5401","","","","11338","","","","","0","","","2","0","8222","","","1","71","88","-1","100","-1","98","-1","-1","100","27265","2415858","10","23","61","59","1","1","0","0","100","","","-1","","","","1332","200","1447062","0","","","468053","0","0","1","","897","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","1588","8175","8819","3379","3678","10791","Google Chrome","41.0.2272.89","1","45","Akamai","0","4","0","3922",
"03/13/2015","11:22:05","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","2606","94","","38504","870837","4","6","56","49","3","2","0","2","0","1280","","","","6598","","","","","0","","","2","0","2606","","","1","74","92","-1","97","-1","100","-1","-1","100","6947","177130","1","1","8","7","1","0","0","0","100","","","-1","","","","130","200","186033","4678","","","276635","0","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","277","2550","2940","2363","2549","6281","Google Chrome","41.0.2272.89","1","45","Akamai","0","4","0","3922",
"03/13/2015","11:22:19","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","6914","87","","47592","2203751","0","2","50","43","3","2","0","2","0","1184","","","","7866","","","","","0","","","2","0","6914","","","1","74","93","-1","100","-1","100","-1","-1","100","30896","2194846","0","0","37","35","0","2","0","0","100","","","-1","","","","137","200","192569","0","","","28485","0","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","481","6849","7481","1183","1388","3985","Google Chrome","41.0.2272.89","1","45","Akamai","0","4","0","3922",
"03/13/2015","11:22:34","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","4982","92","","43235","2144923","8","13","55","46","3","3","0","4","99999","1486","","","","8237","","","","","0","","","2","0","4982","","","1","65","93","-1","100","-1","100","-1","-1","100","21622","1205057","2","4","31","28","0","2","0","0","100","","","-1","","","","143","200","670505","0","","","105162","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","483","4947","5684","1294","1539","6586","Google Chrome","41.0.2272.89","1","45","Akamai","0","4","0","3922",
"03/13/2015","11:22:50","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","2772","715","","23444","13023","1","2","21","13","4","2","0","2","0","781","","","","3879","","","","","0","","","2","0","2772","","","1","5","0","-1","100","-1","100","-1","-1","100","10222","4276","1","0","7","4","1","2","0","0","-1","","","-1","","","","715","200","2889","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","278","2639","3098","759","868","3383","Google Chrome","41.0.2272.89","8","40","","0","4","0","3922",
"03/13/2015","11:23:00","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","1367","756","","20142","11007","5","2","20","12","2","2","0","4","0","787","","","","4040","","","","","0","","","2","0","1367","","","1","0","0","-1","100","-1","100","-1","-1","100","2165","2402","1","1","3","3","0","0","0","0","-1","","","-1","","","","756","200","2759","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","284","1329","1643","1164","1328","3888","Google Chrome","41.0.2272.89","12","40","","0","4","0","3922",
