"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","07:37:13","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","0","0","","1136","282","0","0","0","0","0","0","0","0","0","0","","","","184","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","1136","282","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","3","0","4891",
"03/13/2015","07:37:23","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","1266","692","","18826","10579","3","2","18","12","2","2","0","2","0","790","","","","3239","","","","","0","","","2","0","1266","","","1","0","0","-1","100","-1","100","-1","-1","100","2165","2388","1","1","3","3","0","0","0","0","-1","","","-1","","","","692","200","2740","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","287","1215","1500","1083","1214","3692","Google Chrome","41.0.2272.89","8","39","","0","3","0","4891",
"03/13/2015","07:37:34","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","5290","801","","27944","558835","3","2","32","15","3","2","0","22","0","786","","","","6926","","","","","0","","","2","0","5290","","","1","63","66","-1","100","-1","100","-1","-1","100","14661","550755","0","0","19","7","0","2","0","0","-1","","","-1","","","","801","200","3414","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","283","5222","6013","852","1035","5186","Google Chrome","41.0.2272.89","8","39","","0","3","0","4891",
"03/13/2015","07:37:49","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","5559","1002","","25666","29956","1","3","23","16","3","2","0","2","0","1088","","","","7831","","","","","0","","","2","0","5559","","","1","0","50","-1","100","-1","100","-1","-1","100","8250","3943","0","1","7","4","1","2","0","0","-1","","","-1","","","","1002","200","13092","0","","","0","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","285","5375","6150","1049","1233","7291","Google Chrome","41.0.2272.89","8","39","","0","3","0","4891",
"03/13/2015","07:45:06","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","7266","522","","53721","2487583","29","44","93","82","8","1","0","2","0","4691","","","","11285","","","","","0","","","2","0","7266","","","1","70","87","-1","100","-1","98","-1","-1","100","21528","2111213","10","21","47","45","1","1","0","0","97","","","-1","","","","549","200","1447534","0","","","425395","11329","0","1","","897","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","889","7209","7810","3854","4134","11091","Google Chrome","41.0.2272.89","1","40","Akamai","0","4","0","2426",
"03/13/2015","07:45:25","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","3602","1067","","38520","966860","4","8","56","49","3","2","0","2","0","1889","","","","7314","","","","","0","","","2","0","3602","","","1","74","92","-1","97","-1","100","-1","-1","100","6950","177110","1","2","8","7","1","0","0","0","97","","","-1","","","","1163","200","186010","4678","","","372703","10333","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1286","3550","3985","3169","3370","6788","Google Chrome","41.0.2272.89","1","40","Akamai","0","4","0","2426",
"03/13/2015","07:45:40","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","6476","1934","","47607","2211944","0","5","50","43","3","2","0","2","0","2991","","","","10676","","","","","0","","","2","0","6476","","","1","74","93","-1","100","-1","100","-1","-1","100","22729","867620","0","3","21","19","0","2","0","0","96","","","-1","","","","1984","200","192615","0","","","36620","1367","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","2388","6470","7119","3006","3205","5794","Google Chrome","41.0.2272.89","1","40","Akamai","0","4","0","2426",
"03/13/2015","07:45:59","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","8186","92","","44781","2183495","8","14","54","46","3","3","0","2","0","4890","","","","12909","","","","","0","","","2","0","8186","","","1","67","93","-1","100","-1","100","-1","-1","100","21080","1617068","2","4","30","28","0","2","0","0","98","","","-1","","","","132","200","670508","0","","","143205","1919","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","287","8149","8721","4649","4851","11092","Google Chrome","41.0.2272.89","1","40","Akamai","0","4","0","2426",
"03/13/2015","07:46:20","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","227","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","4","0","2426",
"03/13/2015","07:46:30","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","1300","721","","18573","10602","2","2","18","12","2","2","0","2","0","787","","","","3329","","","","","0","","","2","0","1300","","","1","0","0","-1","100","-1","100","-1","-1","100","2165","2387","2","1","3","3","0","0","0","0","-1","","","-1","","","","721","200","2762","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","284","1254","1551","1125","1254","3986","Google Chrome","41.0.2272.89","12","38","","0","4","0","2426",
"03/13/2015","07:46:41","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","4594","1158","","21301","12705","1","2","19","12","3","2","0","4","0","1184","","","","4594","","","","","0","","","2","0","4594","","","1","0","0","-1","100","-1","100","-1","-1","100","13616","7657","1","2","19","12","3","2","0","0","-1","","","-1","","","","1158","200","4630","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","681","2823","3782","1215","1406","4784","Google Chrome","41.0.2272.89","12","38","","0","4","0","2426",
"03/13/2015","07:46:53","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","55","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","4","0","2426",
"03/13/2015","07:53:46","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","8718","580","","55390","2640190","29","45","98","87","8","1","0","2","0","4693","","","","12111","","","","","0","","","2","0","8718","","","1","70","88","-1","100","-1","98","-1","-1","100","26846","2524322","10","22","60","58","1","1","0","0","98","","","-1","","","","607","200","1448084","0","","","576483","11329","0","1","","898","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","890","8607","8965","2676","2971","12299","Google Chrome","41.0.2272.89","1","41","Akamai","0","5","0","5266",
"03/13/2015","07:54:05","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","4472","89","","38513","966906","4","8","56","49","3","2","0","2","0","3088","","","","7934","","","","","0","","","2","0","4472","","","1","74","92","-1","97","-1","100","-1","-1","100","6949","177134","1","2","8","7","1","0","0","0","97","","","-1","","","","125","200","186057","4678","","","372703","10333","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","284","4315","4692","4131","4315","7890","Google Chrome","41.0.2272.89","1","41","Akamai","0","5","0","5266",
"03/13/2015","07:54:21","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","10067","89","","47606","2211904","0","6","50","43","3","2","0","2","0","4492","","","","11004","","","","","0","","","2","0","10067","","","1","74","93","-1","100","-1","100","-1","-1","100","30906","2203001","0","4","37","35","0","2","0","0","96","","","-1","","","","136","200","192589","0","","","36620","1367","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","289","10008","10616","4582","4767","6692","Google Chrome","41.0.2272.89","1","40","Akamai","0","5","0","5266",
"03/13/2015","07:54:40","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","7802","90","","47056","2184326","8","14","54","46","3","3","0","2","0","3693","","","","12384","","","","","0","","","2","0","7802","","","1","67","93","-1","100","-1","100","-1","-1","100","23165","1765073","3","5","32","29","1","2","0","0","98","","","-1","","","","136","200","670534","0","","","143205","1919","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","289","7434","8125","3534","3738","10993","Google Chrome","41.0.2272.89","1","40","Akamai","0","5","0","5266",
"03/13/2015","07:55:05","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","243","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","5","0","5266",
"03/13/2015","07:55:28","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","3547","914","","14270","7165","1","3","7","5","0","1","0","1","0","989","","","","4008","","","","","0","","","2","0","3547","","","1","0","-1","-1","100","-1","100","-1","-1","100","4612","4533","1","2","3","3","0","0","0","0","-1","","","-1","","","","914","200","1567","0","","","0","0","0","1","","1186","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","487","3506","3799","3357","3505","4090","Google Chrome","41.0.2272.89","12","39","","0","5","0","5266",
"03/13/2015","07:55:46","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","205","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","5","0","5266",
"03/13/2015","07:55:55","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","3700","959","","24245","29698","3","3","23","16","3","2","0","2","0","989","","","","6356","","","","","0","","","2","0","3700","","","1","0","50","-1","100","-1","100","-1","-1","100","7392","3805","0","0","7","4","1","2","0","0","-1","","","-1","","","","959","200","13105","0","","","0","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","286","3320","4315","1009","1188","5490","Google Chrome","41.0.2272.89","12","39","","0","5","0","5266",
"03/13/2015","08:02:32","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","8276","538","","55392","2639271","29","46","97","86","8","1","0","2","0","4993","","","","13456","","","","","0","","","2","0","8276","","","1","72","88","-1","100","-1","98","-1","-1","100","22815","2121988","10","23","50","48","1","1","0","0","98","","","-1","","","","565","200","1447337","0","","","576483","11329","0","1","","897","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","890","8066","8703","2840","4268","13493","Google Chrome","41.0.2272.89","1","41","Akamai","0","6","0","4998",
"03/13/2015","08:02:54","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","3635","999","","38491","966898","4","8","56","49","3","2","0","2","0","1884","","","","7547","","","","","0","","","2","0","3635","","","1","74","92","-1","97","-1","100","-1","-1","100","6948","177134","1","2","8","7","1","0","0","0","97","","","-1","","","","1098","200","186056","4678","","","372703","10333","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1181","3584","4001","3184","3394","7483","Google Chrome","41.0.2272.89","1","41","Akamai","0","6","0","4998",
"03/13/2015","08:03:10","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","0","0","","2465","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2465","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","48","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","1","41","","0","6","0","4998",
