"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"04/02/2015","04:45:07","","http://www.sony.co.uk/?perf=1427948796","3067","1138","","19769","10168","7","4","18","11","3","2","0","2","0","1381","","","","4544","","","","","0","","","2","0","3067","","","1","6","0","-1","100","-1","100","-1","-1","100","10238","3635","2","2","7","4","1","2","0","0","-1","","","-1","","","","1138","200","2490","0","","","0","0","0","1","","915","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","271","2936","3625","1249","1465","0","Google Chrome","41.0.2272.101","8","35","","0","3","0","2006",
"04/02/2015","04:45:19","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","1869","1126","","19403","11073","3","1","19","13","2","2","0","2","0","1390","","","","5464","","","","","0","","","2","0","1869","","","1","0","0","-1","100","-1","100","-1","-1","100","2139","2388","2","1","3","3","0","0","0","0","-1","","","-1","","","","1126","200","2765","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","281","1821","2337","1585","1821","0","Google Chrome","41.0.2272.101","11","35","","0","3","0","2006",
"04/02/2015","04:45:32","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","5144","1426","","20964","11435","0","2","19","12","3","2","0","2","0","1772","","","","7360","","","","","0","","","2","0","5144","","","1","0","0","-1","100","-1","100","-1","-1","100","6891","2992","0","0","5","3","0","2","0","0","-1","","","-1","","","","1426","200","3438","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","174","4958","6500","1615","1966","0","Google Chrome","41.0.2272.101","11","35","","0","3","0","2006",
"04/02/2015","04:45:47","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","6024","1387","","24453","30181","1","3","24","17","3","2","0","2","0","1681","","","","9757","","","","","0","","","2","0","6024","","","1","0","50","-1","100","-1","100","-1","-1","100","7943","3974","0","0","7","4","1","2","0","0","-1","","","-1","","","","1387","200","13095","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","186","5752","7070","1544","1886","0","Google Chrome","41.0.2272.101","11","35","","0","3","0","2006",
"04/02/2015","04:52:20","","http://www.sony.co.uk/?perf=1427948796","7212","437","","48926","2733166","24","41","89","80","6","1","0","2","0","3997","","","","10635","","","","","0","","","2","0","7212","","","1","70","87","-1","100","-1","98","-1","-1","100","21303","2170025","9","23","47","45","1","1","0","0","98","","","-1","","","","469","200","1453215","0","","","680969","13170","0","1","","918","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","686","7157","8099","2760","3190","0","Google Chrome","41.0.2272.101","1","39","Akamai","0","4","0","1820",
"04/02/2015","04:52:40","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","0","0","","2601","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2601","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","46","","","0","0","0","0","0","0","Google Chrome","41.0.2272.101","1","39","","0","4","0","1820",
"04/02/2015","04:52:48","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","7471","938","","54505","2088378","0","9","63","51","6","2","0","5","0","2388","","","","11561","","","","","0","","","2","0","7471","","","1","72","92","-1","100","-1","100","-1","-1","100","32563","745030","0","7","33","26","4","2","0","0","98","","","-1","","","","938","200","191143","0","","","82020","1367","2","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","2284","7224","8912","3370","3825","0","Google Chrome","41.0.2272.101","1","31","Google","0","4","0","1820",
"04/02/2015","04:53:08","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","8330","122","","43056","2166075","8","12","55","47","3","3","0","2","0","2189","","","","12507","","","","","0","","","2","0","8330","","","1","69","93","-1","100","-1","100","-1","-1","100","20903","1746397","1","2","29","27","0","2","0","0","98","","","-1","","","","194","200","652639","0","","","143205","1919","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","482","8216","9245","1978","2329","0","Google Chrome","41.0.2272.101","1","39","Akamai","0","4","0","1820",
"04/02/2015","04:53:29","","http://www.sony.co.uk/?perf=1427948796","3119","1317","","20570","45097","6","4","20","13","3","2","0","2","0","1672","","","","4850","","","","","0","","","2","0","3119","","","1","25","66","-1","100","-1","100","-1","-1","100","9589","3636","2","2","6","4","0","2","0","0","-1","","","-1","","","","1317","200","2487","0","","","0","0","0","1","","915","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","775","3054","3754","1413","1625","0","Google Chrome","41.0.2272.101","8","32","","0","4","0","1820",
"04/02/2015","04:53:41","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","1708","1133","","25582","202180","1","3","31","13","2","2","0","14","0","1281","","","","5493","","","","","0","","","2","0","1708","","","1","52","0","-1","100","-1","100","-1","-1","100","2140","2383","1","1","3","3","0","0","0","0","-1","","","-1","","","","1133","200","2758","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","191","1607","2127","1359","1598","0","Google Chrome","41.0.2272.101","12","32","","0","4","0","1820",
"04/02/2015","04:53:54","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","3827","1280","","20964","11414","2","2","19","12","3","2","0","2","0","1589","","","","6390","","","","","0","","","2","0","3827","","","1","0","0","-1","100","-1","100","-1","-1","100","6891","2974","0","0","5","3","0","2","0","0","-1","","","-1","","","","1280","200","3437","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","583","3655","5289","1346","1701","0","Google Chrome","41.0.2272.101","12","32","","0","4","0","1820",
"04/02/2015","04:54:08","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","5329","1368","","26154","30451","1","2","24","17","3","2","0","2","0","1475","","","","9153","","","","","0","","","2","0","5329","","","1","0","50","-1","100","-1","100","-1","-1","100","6829","3276","0","0","6","3","1","2","0","0","-1","","","-1","","","","1368","200","13079","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","273","5220","6354","1568","1881","0","Google Chrome","41.0.2272.101","12","32","","0","4","0","1820",
"04/02/2015","05:00:50","","http://www.sony.co.uk/?perf=1427948796","8739","2184","","51016","2615897","25","43","92","82","6","1","0","3","0","6104","","","","12131","","","","","0","","","2","0","8739","","","1","70","88","-1","100","-1","98","-1","-1","100","20947","2175497","10","23","47","45","1","1","0","0","100","","","-1","","","","2219","200","1458505","0","","","557719","0","0","1","","920","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","2594","8679","9502","4524","5215","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","5","0","2008",
"04/02/2015","05:01:10","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","2939","520","","42580","877847","4","9","60","51","4","2","0","4","99999","2285","","","","7752","","","","","0","","","2","0","2939","","","1","75","92","-1","96","-1","100","-1","-1","100","7515","177193","1","2","9","7","1","0","0","0","100","","","-1","","","","562","200","187286","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","981","2900","3582","2582","2899","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","5","0","2008",
"04/02/2015","05:01:26","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","0","0","","2549","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2549","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","45","","","0","0","0","0","0","0","Google Chrome","41.0.2272.101","1","29","","0","5","0","2008",
"04/02/2015","05:01:33","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","9269","1195","","48132","2417349","7","11","56","48","3","3","0","2","0","307","","","","13537","","","","","0","","","2","0","9269","","","1","69","93","-1","100","-1","100","-1","-1","100","23644","1997253","2","2","30","28","0","2","0","0","100","","","-1","","","","1262","200","652614","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1909","9355","10512","3385","3745","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","5","0","2008",
"04/02/2015","05:01:55","","http://www.sony.co.uk/?perf=1427948796","3295","1140","","23532","45985","4","4","22","14","3","2","0","3","0","1175","","","","4470","","","","","0","","","2","0","3295","","","1","25","66","-1","100","-1","100","-1","-1","100","11815","39399","4","2","9","6","1","2","0","0","-1","","","-1","","","","1140","200","2488","0","","","0","0","0","1","","917","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","278","3068","3689","1228","1436","0","Google Chrome","41.0.2272.101","12","30","","0","5","0","2008",
"04/02/2015","05:02:07","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","1719","1135","","21061","11404","5","3","20","14","2","2","0","2","0","1282","","","","5716","","","","","0","","","2","0","1719","","","1","0","0","-1","100","-1","100","-1","-1","100","2138","2388","0","1","3","3","0","0","0","0","-1","","","-1","","","","1135","200","2763","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","580","1607","2137","1343","1607","0","Google Chrome","41.0.2272.101","12","30","","0","5","0","2008",
"04/02/2015","05:02:21","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","4955","1262","","31226","1347280","1","3","36","29","3","2","0","2","0","1682","","","","8707","","","","","0","","","2","0","4955","","","1","66","88","-1","100","-1","100","-1","-1","100","7645","2971","0","1","6","3","1","2","0","0","-1","","","-1","","","","1262","200","3414","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","576","4732","6141","1329","1709","0","Google Chrome","41.0.2272.101","12","30","","0","5","0","2008",
"04/02/2015","05:02:38","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","5790","1265","","27477","34244","1","7","25","18","3","2","0","2","0","1684","","","","10063","","","","","0","","","2","0","5790","","","1","0","50","-1","100","-1","100","-1","-1","100","6980","3123","0","2","6","3","1","2","0","0","-1","","","-1","","","","1265","200","13086","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","482","5715","7195","1479","1792","0","Google Chrome","41.0.2272.101","12","30","","0","5","0","2008",
"04/02/2015","05:09:20","","http://www.sony.co.uk/?perf=1427948796","8201","863","","48745","2609801","23","42","89","80","6","1","0","2","0","3988","","","","11269","","","","","0","","","2","0","8201","","","1","70","87","-1","100","-1","98","-1","-1","100","22684","2196160","11","25","50","47","2","1","0","0","100","","","-1","","","","892","200","1453084","0","","","557719","0","0","1","","918","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","1090","7944","8757","3183","3610","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","6","0","1875",
"04/02/2015","05:09:40","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","2683","92","","41931","877779","5","9","60","50","4","2","0","4","0","1882","","","","7245","","","","","0","","","2","0","2683","","","1","74","92","-1","96","-1","100","-1","-1","100","6942","177188","1","2","8","7","1","0","0","0","100","","","-1","","","","126","200","187282","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","581","2587","3305","2256","2586","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","6","0","1875",
"04/02/2015","05:09:57","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","6088","78","","43743","2019599","0","4","49","42","3","2","0","2","0","2170","","","","9974","","","","","0","","","2","0","6088","","","1","71","93","-1","100","-1","100","-1","-1","100","21720","675773","0","2","19","17","0","2","0","0","100","","","-1","","","","127","200","190005","0","","","28485","0","0","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","569","5987","7415","2027","2386","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","6","0","1875",
